apiId	actionId
AutopilotJourneysApi	AddContactList
BenchmarkEmailApi	AddContactList
VboutApi	AddContactList
SlicktextApi	AddContactList
RoblyApi	AddContactList
LeadfoxApi	AddContactList
CallLoop2.0Api	AddContactList
MailercloudApi	AddContactList
EcosendApi	AddContactList
SmsMasivosApi	AddContactList
EmeliaApi	AddContactList
Textp2pApi	AddContactList
InboxApi	AddContactList
SmstoolsApi	AddContactList
TextspotApi	AddContactList
VerticalresponseApi	AddContactList
IpostApi	AddContactList
GetquantyApi	AddContactList
MailsoftlyApi	AddContactList
SmsConversationsApi	AddContactList
ConstantCloserApi	AddContactList
WhatsgenieApi	AddContactList
DatacrushApi	AddContactList
InboxmailersApi	AddContactList
MobizSmsApi	AddContactList
Send47Api	AddContactList
VboutApi	AddContactListEmailNotRequired
DonordockApi	AddContactMarketingList
ActApi	AddContactMarketingList
Force24Api	AddContactMarketingList
HandwryttenApi	AddContactMultiStepCampaign
LoopifyApi	AddContactNewEntry
GetquantyApi	AddContactNewList
ActivecampaignApi	AddContactNote
JobadderApi	AddContactNote
MoskitApi	AddContactNote
TidyhqApi	AddContactNote
ActivecampaignLegacyApi	AddContactNote
LimeCellularApi	AddContactOptList
SmstoolsApi	AddContactOptOutList
TextusApi	AddContactPhoneSequence
TextdripApi	AddContactPipeline
GyftiApi	AddContactPostalCampaign
Brightcall.aiApi	AddContactPowerDialer
RosterApi	AddContactProgram
EzekiaApi	AddContactProject
WplApi	AddContactRequest
ModelMatchApi	AddContactRequisition
MlofloApi	AddContacts
SalescaptainApi	AddContactSalescaptainTintWiz
JustcallApi	AddContactSalesDialerCampaign
DocageApi	AddContactsBox
SmslinkPacificApi	AddContactsContactsList
EngagebayMarketingApi	AddContactSequence
ModelMatchApi	AddContactSequence
QpageApi	AddContactSequence
DistrobirdApi	AddContactSequence
MobilizeUsApi	AddContactsGroup
SmsConnexionApi	AddContactsGroup
MessagemediaSmsApi	AddContactSList
VoisoApi	AddContactsLiveCampaign
GreatAepApi	AddContactSpecificCampaign
WhippyApi	AddContactsSequence
RevbossApi	AddContactSuppression
TarventApi	AddContactSuppressionList
ManycontactsApi	AddContactTag
RoezanSmsApi	AddContactTag
BndlApi	AddContactTag
MomentifiApi	AddContactTag
MaropostMarketingCloudApi	AddContactTagContact
ProworkflowApi	AddContactTask
CommonRoomApi	AddContactThirdPartySource
HubspotApi	AddContactWorkflow
HlProToolsApi	AddContactWorkflow
DatacrushApi	AddContactWorkflow
MeetedgarApi	AddContent
SkedSocialApi	AddContent
LetterheadApi	AddContentCurations
RoamResearchApi	AddContentDailyNotePage
SocialweaverApi	AddContentLibrary
NotionApi	AddContentPage
RoamResearchApi	AddContentPage
RoamResearchApi	AddContentUnderneathExistingBlockYourGraph
ProworkflowApi	AddContractorProject
EveryactionApi	AddContribution
NgpVanApi	AddContribution
FrontApi	AddConversationLinks
CloudblueConnectApi	AddConversationMessage
OnelocalLocalmessagesApi	AddConversationTag
FrontApi	AddConversationTags
BluhornApi	AddConversion
RefersionApi	AddConversionCancellation
MashappApi	AddConversionGoal
GracefulEffortsApi	AddCostDeliverable
AcuitySchedulingApi	AddCouponCode
ZenbookinApi	AddCouponCode
LearningsuiteApi	AddCoursesGroup
LearningsuiteApi	AddCoursesMember
MagowareApi	AddCreateSubscription
PaigoApi	AddCredits
Windsor.aiApi	AddCrmData
Windsor.aiApi	AddCrmTouchpoints
EzekiaApi	AddCurrentStatusPerson
FalseApi	For engagement tracking Engagement use EntityType=1 as the engagement reports are all tied to accounts.  Ensure that the EntityUid matches the Uid for the corresponding account that you want to tie the event to.  For example, lets say you wanted to track engagement for a particular important action that a user takes using your product.   Name the action performed in the Title, select 1 for Entity Type and make sure the EntityUid matches the account that performed the action.
ScrumgeniusApi	AddCustomActivity
ConvesioconvertApi	AddCustomAttribute
ChartmogulApi	AddCustomAttributeCustomerViaEmail
ChartmogulApi	AddCustomAttributeCustomerViaExternalId
ChartmogulApi	AddCustomAttributeCustomerViaUuid
